2003-06-30,05:53,08:48,FC18,2015-06-27
2015-03-27,20:41,08:00,FC18,2015-06-27
2021-05-27,02:00,19:25,FC18,2015-06-27
1996-08-27,01:56,15:02,FC18,2015-06-27
2003-01-10,11:10,19:07,FC18,2015-06-27
1992-05-19,06:56,07:07,FC18,2015-06-27
1991-09-01,20:33,22:50,FC18,2015-06-27
2008-11-06,21:10,21:27,FC18,2015-06-27
1995-07-21,18:09,21:55,FC18,2015-06-27
2007-01-14,07:25,05:25,FC18,2015-06-27
1994-03-09,16:57,06:28,FC18,2015-06-27
1999-01-20,16:28,14:42,FC18,2015-06-27
2003-12-04,22:39,18:45,FC18,2015-06-27
2015-10-16,03:41,23:56,FC18,2015-06-27
1995-09-29,12:27,20:59,FC18,2015-06-27
2021-04-11,10:38,09:20,FC18,2015-06-27
1993-10-26,18:53,04:43,FC18,2015-06-27
1993-05-02,13:07,18:59,FC18,2015-06-27
1999-04-06,06:01,10:31,FC18,2015-06-27
2008-08-09,03:39,01:59,FC18,2015-06-27
2010-03-05,13:48,11:58,FC18,2015-06-27
2010-11-14,12:27,00:17,FC18,2015-06-27
1996-09-16,23:48,20:07,FC18,2015-06-27
2022-06-19,16:33,19:47,FC18,2015-06-27
2019-10-04,02:06,13:17,FC18,2015-06-27
2011-04-27,00:17,15:28,FC18,2015-06-27
2009-02-07,18:21,22:16,FC18,2015-06-27
2018-09-20,22:22,12:14,FC18,2015-06-27
2006-03-30,04:03,02:18,FC18,2015-06-27
2020-10-22,20:14,17:17,FC18,2015-06-27
1999-05-18,06:15,03:31,FC18,2015-06-27
2012-09-30,16:54,23:45,FC18,2015-06-27
1995-04-25,09:30,00:44,FC18,2015-06-27
1994-06-30,16:32,23:02,FC18,2015-06-27
2019-12-16,13:13,19:21,FC18,2015-06-27
2019-08-08,17:11,04:07,FC18,2015-06-27
2012-12-07,20:59,21:41,FC18,2015-06-27
1996-07-14,01:54,14:02,FC18,2015-06-27
2004-10-31,23:06,11:54,FC18,2015-06-27
1991-02-07,01:12,06:10,FC18,2015-06-27
2024-02-12,11:39,06:39,FC18,2015-06-27
2009-02-01,14:14,03:51,FC18,2015-06-27
1996-01-04,21:25,05:07,FC18,2015-06-27
2003-07-07,07:41,01:08,FC18,2015-06-27
2011-09-08,22:23,13:13,FC18,2015-06-27
2005-11-15,20:42,14:17,FC18,2015-06-27
2018-12-30,03:33,13:02,FC18,2015-06-27
2010-01-16,01:48,09:38,FC18,2015-06-27
2023-12-02,02:00,23:19,FC18,2015-06-27
2000-03-06,23:03,21:32,FC18,2015-06-27
2020-06-18,23:11,12:19,FC18,2015-06-27
2016-11-12,02:16,22:05,FC18,2015-06-27
1994-03-20,17:39,16:03,FC18,2015-06-27
2017-11-14,06:15,19:15,FC18,2015-06-27
2009-04-07,02:26,14:47,FC18,2015-06-27
2004-05-23,18:34,05:54,FC18,2015-06-27
2020-02-01,02:22,12:58,FC18,2015-06-27
2018-12-18,15:36,03:00,FC18,2015-06-27
2024-05-01,14:25,20:44,FC18,2015-06-27
2015-07-20,23:44,15:37,FC18,2015-06-27
2009-06-13,06:02,04:37,FC18,2015-06-27
1991-09-03,07:15,07:19,FC18,2015-06-27
1991-06-14,06:12,06:22,FC18,2015-06-27
1997-06-01,23:15,11:48,FC18,2015-06-27
2017-07-15,03:47,21:22,FC18,2015-06-27
1998-04-22,16:19,14:56,FC18,2015-06-27
1995-01-27,06:14,20:41,FC18,2015-06-27
1997-05-18,15:29,17:48,FC18,2015-06-27
1992-11-15,06:12,18:40,FC18,2015-06-27
2002-12-05,00:34,08:40,FC18,2015-06-27
2015-12-27,13:43,10:10,FC18,2015-06-27
2018-01-23,21:44,09:49,FC18,2015-06-27
1995-09-28,08:42,01:00,FC18,2015-06-27
2020-03-17,07:03,13:36,FC18,2015-06-27
2004-07-22,14:21,21:11,FC18,2015-06-27
2002-04-27,01:56,10:53,FC18,2015-06-27
2005-01-19,05:21,19:54,FC18,2015-06-27
2016-11-21,07:19,12:20,FC18,2015-06-27
2002-04-07,14:38,17:42,FC18,2015-06-27
1995-02-16,00:21,06:27,FC18,2015-06-27
1991-09-11,20:09,12:07,FC18,2015-06-27
2008-07-31,19:20,19:38,FC18,2015-06-27
2014-04-12,04:02,03:03,FC18,2015-06-27
2020-12-05,21:35,19:20,FC18,2015-06-27
2012-04-01,09:39,03:04,FC18,2015-06-27
2018-03-19,01:06,10:53,FC18,2015-06-27
2002-03-31,15:39,12:52,FC18,2015-06-27
2005-09-19,02:19,23:22,FC18,2015-06-27
1994-10-12,22:51,10:01,FC18,2015-06-27
2006-02-20,01:25,23:57,FC18,2015-06-27
1999-03-25,00:39,13:56,FC18,2015-06-27
2008-04-09,09:45,08:37,FC18,2015-06-27
2017-04-03,09:35,19:47,FC18,2015-06-27
2001-09-01,11:10,02:31,FC18,2015-06-27
2007-09-06,08:03,14:00,FC18,2015-06-27
2003-11-11,13:24,18:05,FC18,2015-06-27
1998-07-25,22:07,15:06,FC18,2015-06-27
2000-10-04,16:46,21:14,FC18,2015-06-27
2020-05-06,23:36,10:01,FC18,2015-06-27
2011-11-02,03:10,04:12,FC18,2015-06-27
