1,23:51,20:54,06:08,4,1511,FC2004,1996-01-27
2,11:23,06:49,05:56,10,271,FC0,2004-09-29
3,07:52,23:51,04:13,8,1515,FC12003,2007-04-26
4,15:04,16:36,10:22,3,637,FC16001,2021-04-30
5,00:08,22:36,13:44,10,1816,FC2,2017-05-07
6,21:39,07:17,16:12,9,281,FC11001,2014-02-05
7,11:40,23:53,03:54,1,658,FC2001,2024-07-22
8,15:16,01:32,17:29,11,652,FC5004,1992-12-22
9,17:05,02:48,12:20,11,1668,FC4002,2007-06-22
10,01:46,01:10,05:53,8,44,FC14003,2014-10-25
11,20:28,15:38,04:08,1,1178,FC2,2017-05-07
12,09:50,07:20,22:31,5,272,FC15000,2008-03-25
