1992-05-22,City6,17.4,-9.72,117,25.39,FC490,2023-01-23
2019-04-26,City5,7.79,-10.68,84,97.35,FC119,2024-06-30
2004-01-07,City12,-7.14,-6.97,30,8.42,FC8,2024-11-22
2006-04-10,City6,4.18,-5.51,432,79.3,FC458,2024-07-24
1992-12-28,City15,7.64,11.93,403,137.74,FC336,2023-10-06
1998-02-20,City18,10.69,27.83,153,10.85,FC435,2024-01-31
2000-09-28,City12,13.42,-5.17,256,132.1,FC178,2023-05-16
2003-02-27,City13,-7.79,17.3,393,52.41,FC475,2023-09-30
2022-11-16,City4,-7.71,29.38,60,144.0,FC348,2023-04-21
2008-08-02,City11,42.32,12.35,265,129.26,FC504,2023-01-01
2007-02-11,City12,18.82,10.54,46,60.86,FC423,2023-08-14
2007-02-05,City19,32.44,-8.34,61,129.57,FC399,2023-02-16
1990-01-17,City0,30.65,22.57,105,100.86,FC555,2024-12-16
1995-03-31,City3,10.28,19.86,477,87.9,FC69,2023-02-02
1993-02-26,City12,33.82,-16.33,303,36.27,FC116,2023-01-01
1992-12-07,City10,12.17,13.57,316,69.01,FC237,2024-02-06
2018-01-14,City7,2.12,-18.09,274,145.9,FC230,2024-02-09
2019-09-16,City3,16.42,3.36,157,143.67,FC294,2024-07-19
1998-12-29,City15,0.92,20.08,333,110.43,FC70,2023-01-20
1997-01-31,City5,31.06,12.06,279,147.58,FC113,2023-09-17
