1,95.39,93.88,32.72,18.63,56.75,67.21,1
2,61.37,94.72,16.93,79.88,18.18,15.39,2
3,24.96,69.29,76.42,92.53,31.29,60.11,3
4,66.63,6.81,39.27,97.39,15.27,36.25,4
5,44.48,9.95,72.17,13.16,9.45,39.33,5
6,43.52,51.27,83.57,32.15,96.42,81.4,6
7,25.72,35.5,74.69,72.21,72.87,38.07,8
8,42.57,17.47,94.96,8.37,63.68,24.88,14
9,41.03,74.87,44.19,1.25,56.9,33.22,15
10,27.0,92.46,18.27,76.26,75.55,23.41,16
11,54.88,2.82,60.37,42.25,83.01,9.51,17
12,88.11,79.51,28.51,36.73,4.81,91.26,18
13,51.11,14.0,75.62,26.81,82.35,46.83,20
14,52.77,32.2,24.08,94.61,11.76,44.74,21
15,67.11,4.27,69.68,24.36,66.49,32.79,23
16,72.26,95.76,99.47,88.44,70.2,44.71,24
17,72.1,12.1,15.95,83.46,42.94,38.43,25
18,27.25,24.34,57.08,13.09,39.61,27.18,26
19,11.14,61.09,86.02,4.27,60.77,35.46,28
20,95.06,4.84,5.6,51.65,64.18,41.03,29
21,91.85,56.72,38.77,15.21,41.62,56.04,30
22,83.75,10.21,9.05,63.69,14.31,71.45,32
23,77.22,55.86,43.38,23.57,67.35,64.83,33
24,31.22,29.4,37.36,87.55,63.56,84.66,34
25,92.04,20.5,3.18,5.17,70.49,22.51,35
26,82.46,18.75,20.78,82.48,33.72,20.96,36
27,52.86,24.75,4.71,51.62,57.69,4.12,37
28,5.44,51.72,82.58,36.35,61.69,61.7,40
29,79.04,5.77,20.31,36.66,46.04,67.7,41
30,17.47,8.81,29.05,80.84,72.51,16.09,42
31,6.67,65.32,61.09,87.92,93.7,60.65,43
32,26.62,56.2,43.66,34.86,50.01,19.25,44
33,41.73,56.61,49.19,0.92,18.16,40.6,45
34,14.01,75.72,55.82,19.77,16.6,10.69,46
35,77.01,15.71,19.09,22.6,20.34,92.83,47
36,7.61,11.88,96.47,51.86,36.19,74.73,48
37,45.36,99.51,96.76,38.47,81.95,68.76,50
38,61.74,1.74,84.67,83.09,57.96,22.04,51
39,55.92,35.33,58.64,97.33,85.7,72.81,52
40,93.83,16.49,90.46,98.76,3.25,7.83,53
41,31.44,13.89,10.89,2.79,20.24,8.83,54
42,0.2,70.73,93.02,76.88,71.2,4.03,55
43,29.41,67.65,37.88,61.94,9.68,72.37,56
44,62.05,89.04,75.67,4.83,8.34,37.49,57
45,43.99,31.73,30.88,93.13,84.17,82.17,58
46,90.49,39.31,29.02,8.41,58.2,37.39,59
47,1.13,31.62,87.73,10.77,86.15,39.52,60
48,84.38,86.83,84.48,58.21,65.65,25.33,61
49,29.27,51.69,93.57,13.37,1.43,82.55,62
50,26.51,59.95,18.18,56.48,33.24,68.22,63
51,85.64,87.44,94.86,91.37,41.37,95.92,64
52,8.58,27.63,52.88,95.39,87.94,34.6,67
53,75.45,45.79,1.5,56.6,15.63,86.4,68
54,12.79,74.26,37.85,11.07,66.61,25.49,69
55,88.8,18.86,78.24,2.56,24.05,30.11,70
56,2.41,12.24,29.35,87.73,39.4,96.89,71
57,96.03,11.94,17.77,36.02,65.32,21.77,72
58,0.51,72.74,14.66,93.79,80.4,33.83,73
59,40.31,35.39,85.54,26.7,54.14,2.03,75
60,42.45,24.4,33.92,61.62,65.8,30.74,79
61,71.81,82.08,35.63,59.08,8.87,48.86,80
62,92.71,24.04,70.67,61.04,70.35,71.4,82
63,74.17,18.97,46.36,2.68,9.79,47.25,83
64,14.4,49.42,65.41,31.37,89.95,32.05,84
65,6.72,51.72,36.85,69.72,17.01,6.86,85
66,26.4,20.69,65.51,82.83,52.25,7.62,86
67,5.73,72.16,72.09,98.14,87.78,86.08,87
68,0.98,32.71,85.87,5.3,62.13,75.61,88
69,83.19,81.55,96.7,31.91,32.22,67.22,90
70,63.2,57.02,53.38,67.06,17.95,72.78,91
71,84.97,84.34,85.15,22.59,53.8,52.82,92
72,70.82,64.12,37.1,76.25,6.49,1.56,94
73,22.31,65.52,87.39,78.1,93.11,43.92,95
74,4.27,18.97,56.4,55.91,3.82,55.09,96
75,58.3,52.79,79.34,87.18,46.0,65.5,97
76,77.98,50.88,12.43,67.66,57.83,30.0,99
77,91.76,66.32,94.41,54.87,40.27,16.47,101
78,23.22,76.2,56.27,52.46,89.79,45.82,103
79,7.26,30.82,28.39,77.19,1.96,72.11,104
80,98.45,51.55,53.18,96.04,24.44,87.15,105
81,56.67,34.76,4.4,89.82,42.03,39.8,108
82,70.64,42.0,91.82,61.93,85.95,82.94,109
83,50.02,64.13,63.07,13.69,1.31,59.52,111
84,16.8,34.96,11.55,79.74,33.11,28.77,113
85,35.91,62.99,45.91,88.66,97.1,33.2,114
86,76.46,46.97,84.04,87.81,18.46,55.37,115
87,30.51,55.65,3.13,35.92,61.4,95.8,116
88,57.24,20.35,48.39,50.69,81.3,30.45,117
89,46.35,55.21,87.07,28.37,68.12,73.06,120
90,43.01,29.4,12.65,15.64,34.54,31.07,121
91,77.42,79.87,69.96,30.3,70.16,59.43,122
92,0.77,21.36,79.37,65.51,58.82,76.21,123
93,19.16,7.25,96.82,90.25,60.75,72.49,124
94,22.99,70.66,80.43,8.43,64.74,62.85,125
95,65.77,75.12,43.1,69.77,92.89,45.09,127
96,82.96,70.29,37.38,1.95,49.57,7.78,131
97,41.54,6.41,42.7,47.35,36.37,93.29,132
98,60.14,63.57,81.8,93.02,38.87,1.21,133
99,14.19,32.88,64.68,16.79,94.25,61.01,134
100,24.32,35.8,14.54,65.48,12.95,95.35,136
101,9.01,83.19,35.28,88.61,66.43,1.51,137
102,73.03,41.28,78.61,37.51,20.56,18.18,138
103,85.91,38.2,42.99,8.34,16.77,43.8,139
104,14.7,30.91,50.34,17.08,27.54,12.08,142
105,51.68,22.68,16.32,49.79,64.88,85.05,144
106,92.74,42.59,40.44,70.73,34.04,63.91,146
107,99.68,29.06,37.36,83.09,77.72,35.25,150
108,75.17,4.19,92.42,37.73,39.96,26.79,151
109,62.37,78.89,31.75,48.54,17.13,63.58,152
110,47.41,38.06,12.83,93.97,12.69,79.58,153
111,8.5,80.99,63.29,30.66,64.67,52.99,155
