WS0,Org0,81.941277,-86.582417,350,Type1,City13,Country3
WS1,Org1,-40.527915,-22.62459,1619,Type3,City2,Country2
WS2,Org2,-3.634495,-97.321366,1292,Type3,City14,Country4
WS3,Org3,-52.382206,-12.269471,1463,Type1,City13,Country3
WS4,Org4,-12.093743,-62.727328,1057,Type3,City12,Country2
WS5,Org5,-49.821241,-10.527869,1899,Type2,City4,Country4
WS6,Org6,-86.698559,27.139059,2438,Type2,City10,Country0
WS7,Org7,66.985648,-115.215543,675,Type1,City14,Country4
WS8,Org8,9.797789,-114.432094,443,Type3,City17,Country2
WS9,Org9,85.506275,-46.736855,2697,Type1,City17,Country2
WS10,Org0,-84.356626,12.420904,2242,Type2,City17,Country2
WS11,Org1,40.978493,172.080767,131,Type1,City17,Country2
WS12,Org2,-55.307335,-32.952015,645,Type2,City17,Country2
WS13,Org3,-89.522699,-145.950222,2137,Type2,City5,Country0
WS14,Org4,34.411752,-101.8962,823,Type1,City13,Country3
WS15,Org5,67.331332,-148.158801,1365,Type2,City1,Country1
WS16,Org6,13.760685,-26.273898,1652,Type1,City12,Country2
WS17,Org7,-52.860874,-134.596229,2577,Type2,City1,Country1
WS18,Org8,68.628144,-73.215079,1575,Type3,City14,Country4
WS19,Org9,63.716011,121.160481,900,Type1,City3,Country3
