1,2004-09-29,23:37,FC0,2004-09-29
2,2004-09-29,06:14,FC0,2004-09-29
3,2004-09-29,19:43,FC0,2004-09-29
4,2011-08-19,09:34,FC1,2011-08-19
5,2011-08-19,23:28,FC1,2011-08-19
6,2011-08-19,04:17,FC1,2011-08-19
7,2017-05-07,16:07,FC2,2017-05-07
8,2017-05-07,17:14,FC2,2017-05-07
9,2017-05-07,05:21,FC2,2017-05-07
10,1993-04-28,19:50,FC3,1993-04-28
11,1993-04-28,22:29,FC3,1993-04-28
12,1993-04-28,02:05,FC3,1993-04-28
13,2010-03-26,13:54,FC4,2010-03-26
14,2010-03-26,23:46,FC4,2010-03-26
15,2010-03-26,05:56,FC4,2010-03-26
16,1995-11-09,07:13,FC1000,1995-11-09
17,1995-11-09,08:08,FC1000,1995-11-09
18,1995-11-09,07:46,FC1000,1995-11-09
19,2017-08-08,14:25,FC1001,2017-08-08
20,2017-08-08,16:34,FC1001,2017-08-08
21,2017-08-08,13:01,FC1001,2017-08-08
22,1998-06-27,10:41,FC1002,1998-06-27
23,1998-06-27,16:01,FC1002,1998-06-27
24,1998-06-27,19:38,FC1002,1998-06-27
25,1991-03-23,18:26,FC1003,1991-03-23
26,1991-03-23,11:20,FC1003,1991-03-23
27,1991-03-23,08:43,FC1003,1991-03-23
28,2001-09-20,07:44,FC1004,2001-09-20
29,2001-09-20,06:08,FC1004,2001-09-20
30,2001-09-20,12:44,FC1004,2001-09-20
31,2010-07-09,20:50,FC2000,2010-07-09
32,2010-07-09,06:04,FC2000,2010-07-09
33,2010-07-09,06:00,FC2000,2010-07-09
34,2024-07-22,17:45,FC2001,2024-07-22
35,2024-07-22,03:32,FC2001,2024-07-22
36,2024-07-22,02:41,FC2001,2024-07-22
37,2018-02-10,02:13,FC2002,2018-02-10
38,2018-02-10,23:44,FC2002,2018-02-10
39,2018-02-10,16:00,FC2002,2018-02-10
40,1990-05-08,14:50,FC2003,1990-05-08
41,1990-05-08,14:20,FC2003,1990-05-08
42,1990-05-08,01:08,FC2003,1990-05-08
