1,44.02,-17.08,0.7,12.29,0,1
2,13.27,1.78,32.46,49.1,1,2
3,32.93,-18.7,19.44,-18.25,0,3
4,17.62,-5.91,46.13,40.8,0,4
5,36.13,-19.07,46.86,-18.39,0,5
6,16.22,44.25,31.26,49.06,1,7
7,13.66,42.31,45.59,31.22,1,8
8,14.72,46.79,24.79,15.89,1,10
9,-13.03,-14.26,0.26,2.2,0,11
10,36.45,19.67,14.84,13.38,0,12
11,18.42,12.97,5.83,35.83,1,13
12,17.96,44.9,-19.0,-12.94,0,14
13,33.67,15.02,37.49,36.4,0,15
14,7.27,-12.2,25.72,37.21,1,17
15,19.93,17.27,25.81,32.28,0,18
16,1.98,2.74,-14.29,-8.26,0,19
17,28.28,16.02,-10.97,14.71,0,20
18,47.59,27.06,35.15,47.86,0,21
19,33.75,-2.69,47.15,23.23,1,22
20,0.21,-15.34,12.79,13.15,0,25
21,10.42,44.59,-10.18,38.09,1,26
22,7.5,-1.87,2.59,26.05,0,27
23,48.83,20.01,-9.63,3.78,0,28
24,41.05,15.43,3.37,31.57,0,29
25,39.56,38.16,43.44,16.57,0,30
26,16.74,4.99,23.74,-4.77,1,32
27,-7.78,17.82,32.92,39.92,1,34
28,20.75,-8.67,18.89,44.65,0,35
29,13.33,25.33,6.79,20.02,1,37
30,-4.46,10.41,9.32,15.05,1,39
31,18.88,-5.41,13.12,-12.35,0,40
32,-17.75,-18.05,26.64,38.07,0,41
33,36.18,40.39,21.48,40.39,0,42
34,35.33,48.62,9.3,10.81,1,44
35,5.05,38.95,19.91,-2.29,1,45
36,18.34,18.17,33.76,23.25,1,46
37,33.72,23.86,15.57,-14.31,0,47
38,7.27,47.61,-9.77,20.8,0,48
39,-3.75,41.52,37.86,16.03,1,49
40,21.84,-16.53,-6.09,45.27,1,50
41,36.74,40.13,-3.49,40.91,0,51
42,21.27,-19.38,-3.89,45.21,0,52
43,38.69,13.09,-18.06,5.62,1,53
44,-16.08,-14.71,22.62,-19.19,0,54
45,29.68,9.0,26.57,15.34,0,55
46,4.58,-19.0,-12.01,14.4,1,56
47,-12.49,20.82,27.1,46.29,0,57
48,-16.97,43.39,36.18,43.55,0,58
49,37.61,34.26,-2.54,-6.33,0,60
50,6.07,-17.45,41.96,5.64,1,61
51,37.56,49.58,5.25,-6.43,0,62
52,-9.81,0.39,48.55,-8.8,0,63
53,-19.73,16.05,35.74,45.82,0,64
54,1.15,-11.32,12.73,44.09,0,65
55,6.36,33.2,7.67,-8.25,1,66
56,16.48,46.82,36.76,31.66,1,67
57,14.39,29.16,-14.75,43.61,1,68
58,-10.71,30.44,3.27,-4.09,0,69
59,31.86,6.37,10.15,-16.34,0,71
60,13.89,-3.72,-5.06,-0.75,1,72
61,5.75,32.82,41.38,-11.66,0,73
62,16.4,38.59,6.48,47.43,0,74
63,40.5,33.14,-16.63,15.92,0,75
64,-5.63,12.23,6.95,-6.9,0,76
65,17.26,-2.89,31.02,-2.96,1,77
66,20.95,19.0,-4.94,28.52,0,78
67,-5.92,-1.24,12.38,-15.22,1,79
68,11.88,31.6,-10.91,7.05,0,80
69,-2.24,-3.4,1.77,4.66,1,82
70,-7.21,7.18,-18.21,48.55,0,84
71,35.27,0.95,33.5,5.69,1,86
72,-16.5,14.12,0.92,43.37,0,87
73,3.5,9.91,44.33,-1.24,0,88
74,-0.29,-3.1,43.27,-13.5,0,89
75,-7.04,27.02,7.47,-12.54,1,90
76,37.86,40.54,3.71,-7.47,1,91
77,34.02,25.3,38.36,-4.23,1,92
78,-18.61,48.5,2.2,18.07,1,93
79,30.98,43.15,-11.01,7.77,1,94
80,24.96,-14.46,6.89,43.95,1,95
81,16.23,-15.58,-9.37,-3.37,1,96
82,16.56,9.17,36.45,-17.74,0,97
83,37.53,11.23,49.22,-7.32,0,98
84,6.53,8.77,26.51,16.19,0,99
85,17.88,4.98,-4.23,20.59,0,100
86,35.45,13.04,39.84,16.73,1,101
87,7.32,47.72,14.02,-14.08,1,102
88,27.51,47.36,-0.59,11.88,1,103
89,44.05,3.71,46.59,48.1,0,104
90,-19.0,38.46,15.29,3.23,0,106
91,-17.02,18.21,25.36,39.12,1,107
92,48.64,-3.55,19.1,-16.53,1,108
93,49.91,6.52,33.89,43.58,1,110
94,41.58,40.75,5.75,-19.66,0,111
95,42.42,43.61,38.74,-13.75,1,112
96,12.61,45.87,39.16,-10.49,0,113
97,-0.69,31.67,21.73,-7.0,0,114
98,-17.27,0.54,29.28,12.92,1,115
99,-3.39,5.02,-0.54,0.83,0,116
100,49.02,18.71,23.22,-5.38,1,117
101,47.77,7.34,31.41,32.79,1,118
102,-1.64,-19.21,43.25,41.51,0,120
103,33.23,8.39,-15.38,36.57,1,121
104,1.95,-1.76,39.15,21.97,1,122
105,39.71,-7.1,-16.6,46.94,1,123
106,44.38,49.92,29.09,35.0,0,124
107,20.84,2.6,-9.01,-18.2,1,125
108,12.89,40.94,27.58,1.83,1,126
109,15.34,-6.03,1.44,22.01,1,127
110,31.03,20.59,45.95,15.93,1,128
111,17.5,14.57,-5.15,7.78,0,129
112,-6.62,-8.08,20.85,43.28,1,130
113,6.41,45.36,12.73,-14.55,1,131
