1995-08-14,2022-11-20,1,0,WS0
2001-11-17,2006-11-15,1,1,WS1
1992-01-29,2002-07-09,0,2,WS2
2000-03-02,1996-02-18,0,3,WS3
2003-08-12,2002-09-13,1,4,WS4
2004-01-28,2008-11-18,1,5,WS5
1992-05-04,2024-04-02,0,6,WS6
2005-06-21,2008-08-24,0,7,WS7
2024-12-22,2002-12-10,0,8,WS8
1991-01-15,2017-07-28,1,9,WS9
1996-12-09,1990-06-20,1,10,WS10
1991-11-03,2020-08-26,0,11,WS11
2019-02-28,2023-03-02,0,12,WS12
2019-09-06,2012-07-11,0,13,WS13
2024-07-11,2000-01-31,1,14,WS14
2018-02-22,2003-05-28,0,15,WS15
2013-01-20,1998-03-28,1,16,WS16
1991-12-15,2016-03-30,0,17,WS17
1993-03-16,2011-08-08,1,18,WS18
2023-06-14,2008-11-14,1,19,WS19
