1,20:24,11:39,Waxing,399722,78.08,09:23,FC15003,1991-03-30
2,19:23,05:26,Waxing,368058,29.94,20:33,FC3003,2005-09-16
3,17:20,04:15,New,367167,37.6,08:13,FC1002,2014-12-26
4,06:28,10:07,Waning,394996,55.81,23:46,FC1000,2013-05-20
5,04:49,22:11,Waning,384275,25.07,18:55,FC2001,1993-08-11
6,16:27,03:24,New,403736,31.76,00:51,FC7003,1994-09-09
7,21:15,08:03,Waxing,380539,94.4,17:20,FC1002,2014-12-26
8,23:47,06:56,Waning,370720,9.71,14:58,FC17003,1990-09-01
9,20:46,15:57,New,364450,99.23,01:47,FC3,1991-08-27
10,01:48,10:07,Full,388928,47.9,11:00,FC17003,1990-09-01
