City0,Country0,855424,20.637631,-112.437344,2199,38.74,458,2007-01-21,4
City1,Country1,342740,39.31376,127.699929,2749,8.77,2365,2000-12-21,6
City2,Country2,378596,-71.256729,45.931049,2792,24.57,1187,2023-08-16,-3
City3,Country3,101733,5.024862,100.569552,1260,10.59,2291,2004-07-18,8
City4,Country4,680632,32.054451,168.838837,1316,13.9,1176,1998-09-27,-3
City5,Country0,3431,65.393913,-64.565116,802,-8.25,1853,1992-06-25,-11
City6,Country1,715637,81.887436,-137.392567,628,30.34,426,2008-12-16,-1
City7,Country2,773492,-12.959287,68.289976,1621,-14.4,2086,2010-10-04,-5
City8,Country3,454392,-10.688411,0.548667,2914,-5.22,2666,1998-03-24,5
City9,Country4,445971,-54.389671,-24.343039,2053,6.49,2298,1991-06-20,-6
City10,Country0,107805,-78.559005,60.414471,2895,20.09,566,2005-07-06,-11
City11,Country1,436314,5.136357,-170.234136,1930,9.48,2233,2013-08-19,-3
City12,Country2,618808,-50.424707,7.49589,338,-6.62,2327,1990-03-04,-11
City13,Country3,762364,-78.126861,107.300678,1794,-12.53,1863,1994-08-18,2
City14,Country4,310417,-18.879526,132.853213,654,6.08,708,2023-02-02,5
City15,Country0,242859,79.107776,165.964605,2088,9.89,2179,2004-09-16,-11
City16,Country1,427116,84.576631,103.190551,915,-10.66,1862,2004-09-05,-7
City17,Country2,705551,-45.214242,18.717796,1911,-9.16,2047,2002-07-03,14
City18,Country3,192721,-59.898144,-64.108833,2568,25.96,1893,2015-07-07,11
City19,Country4,17753,82.956522,142.900717,2581,12.39,1996,2003-04-30,3
