1,29.95,S,82.08,Strong,1
2,48.94,E,97.0,Moderate,2
3,82.69,E,76.34,Light,3
4,58.69,SW,64.54,Moderate,4
5,91.54,E,122.07,Strong,5
6,31.04,NE,149.76,Strong,6
7,27.46,W,62.86,Gale,7
8,2.8,SE,87.98,Storm,8
9,10.25,S,18.32,Storm,9
10,89.5,NW,106.13,Gale,10
11,29.02,S,94.08,Gale,11
12,73.79,N,41.21,Moderate,12
13,8.23,SE,93.45,Moderate,13
14,88.72,NE,35.46,Gale,15
15,50.66,E,99.5,Storm,16
16,45.99,SW,34.8,Storm,18
17,20.49,NE,35.61,Light,19
18,74.55,N,87.72,Light,20
19,54.01,W,10.31,Light,21
20,7.79,W,105.04,Strong,23
21,11.36,NE,140.86,Storm,24
22,28.96,NE,14.65,Gale,25
23,3.0,N,137.2,Moderate,26
24,30.11,N,83.27,Light,29
25,99.65,S,47.55,Gale,30
26,80.76,SW,8.47,Moderate,31
27,1.81,S,117.03,Strong,32
28,82.84,SE,104.17,Moderate,33
29,23.39,W,103.99,Gale,34
30,70.7,N,95.23,Gale,35
31,49.26,SE,84.4,Gale,36
32,93.91,NW,20.19,Storm,40
33,57.59,NW,77.74,Storm,42
34,32.88,S,141.3,Moderate,43
35,95.63,SE,136.06,Strong,44
36,29.44,NE,113.26,Storm,46
37,17.44,NW,148.79,Moderate,48
38,18.02,E,5.96,Moderate,49
39,58.61,S,43.38,Gale,50
40,26.14,E,18.31,Gale,51
41,32.66,SW,57.91,Strong,52
42,47.34,N,22.36,Gale,53
43,86.35,E,42.49,Moderate,54
44,96.45,S,88.62,Moderate,55
45,15.6,W,67.17,Light,56
46,94.73,NW,135.93,Moderate,57
47,55.59,E,123.57,Gale,58
48,88.46,NE,19.06,Light,59
49,82.9,SW,0.63,Strong,60
50,87.75,SE,42.31,Moderate,61
51,35.13,NW,29.96,Strong,62
52,85.76,S,30.09,Moderate,65
53,12.2,SW,129.55,Storm,66
54,36.35,W,72.38,Storm,67
55,88.52,SE,61.32,Moderate,68
56,48.04,NW,40.64,Moderate,69
57,45.51,N,93.89,Moderate,70
58,74.85,W,125.63,Strong,71
59,34.85,S,72.49,Gale,72
60,73.21,S,75.24,Light,73
61,47.68,SW,46.4,Strong,74
62,93.52,S,75.32,Moderate,75
63,4.83,NE,45.85,Light,76
64,47.75,SW,122.45,Gale,78
65,77.37,S,19.59,Moderate,79
66,9.43,E,0.23,Strong,80
67,38.97,W,48.79,Light,81
68,78.56,SW,83.85,Moderate,82
69,54.87,W,121.7,Storm,84
70,66.5,NW,139.45,Strong,85
71,16.35,S,129.57,Light,86
72,43.39,S,43.95,Storm,88
73,31.83,SW,116.81,Storm,89
74,51.1,S,111.27,Gale,90
75,49.14,NE,136.9,Strong,91
76,44.91,SE,116.98,Storm,92
77,24.42,E,79.81,Strong,93
78,3.83,NW,2.47,Moderate,95
79,52.63,S,20.37,Strong,96
80,74.41,N,98.3,Strong,97
81,20.06,W,116.26,Light,98
82,32.71,N,64.76,Moderate,99
83,82.39,S,46.55,Storm,100
84,21.78,N,124.67,Light,101
85,91.08,W,127.36,Strong,102
86,27.22,NE,66.52,Storm,104
87,88.82,N,52.8,Light,105
88,53.43,E,75.95,Light,106
89,62.05,S,61.66,Moderate,107
90,57.11,SE,34.33,Storm,109
91,7.66,NW,111.87,Moderate,110
92,31.55,W,95.4,Gale,111
93,10.53,NE,34.43,Strong,112
94,56.88,W,140.35,Moderate,113
95,20.06,S,9.46,Light,114
96,55.91,E,59.66,Strong,116
97,50.34,E,142.83,Strong,117
98,52.86,SW,116.82,Storm,118
99,34.69,N,58.94,Moderate,119
100,65.48,NW,54.87,Gale,120
101,15.71,NW,31.21,Gale,121
102,25.65,SE,53.51,Strong,122
103,15.99,SE,109.3,Moderate,123
104,40.27,SE,132.61,Light,124
105,28.49,N,13.9,Moderate,126
106,37.03,N,24.38,Strong,127
107,66.51,E,60.73,Strong,128
108,34.47,N,16.44,Light,129
109,30.96,NE,80.11,Moderate,130
110,0.36,NE,20.24,Strong,131
111,27.28,S,47.05,Moderate,132
112,55.3,S,17.24,Strong,133
113,0.17,W,85.53,Moderate,134
114,32.16,W,144.59,Light,135
115,57.92,S,138.22,Moderate,137
116,45.73,N,77.75,Light,138
117,91.48,E,79.64,Strong,139
118,48.67,N,94.61,Gale,140
119,45.93,SE,145.73,Light,141
120,63.82,S,127.89,Storm,142
121,42.42,NW,75.82,Storm,143
122,61.6,E,88.46,Strong,144
123,2.07,S,114.54,Storm,145
124,15.05,E,49.2,Storm,146
125,52.56,N,121.27,Gale,147
126,91.56,SW,85.56,Light,150
127,88.57,N,23.12,Moderate,151
128,92.51,SE,12.99,Gale,153
129,41.97,S,37.33,Gale,154
130,73.22,SW,149.99,Gale,155
131,10.31,W,126.74,Light,156
132,15.74,S,98.62,Light,157
133,90.45,SW,119.6,Moderate,159
134,32.29,S,139.7,Gale,160
135,14.74,SE,83.21,Light,162
136,88.98,N,92.16,Moderate,163
137,63.65,N,85.58,Gale,164
138,24.68,SW,90.65,Moderate,165
139,54.58,S,31.77,Moderate,166
140,19.45,SE,45.75,Gale,168
141,38.04,NW,87.44,Strong,169
142,46.88,W,99.4,Light,170
143,31.09,E,29.84,Storm,171
144,89.96,E,20.81,Moderate,172
145,31.68,NE,99.77,Light,174
146,32.24,NE,27.41,Strong,175
147,95.91,W,36.19,Storm,177
148,95.13,S,85.47,Strong,178
149,87.69,W,54.4,Gale,179
150,70.98,N,77.91,Gale,181
151,51.84,S,148.4,Storm,182
152,75.15,E,27.36,Gale,183
153,16.33,W,16.88,Light,184
154,51.07,S,29.41,Light,185
155,88.59,NE,6.33,Moderate,186
156,49.18,NE,21.09,Storm,187
157,97.45,E,132.01,Moderate,188
158,35.22,SW,116.3,Strong,189
159,9.54,N,92.3,Strong,190
160,88.14,NE,13.58,Gale,191
161,12.0,N,41.49,Strong,192
162,7.96,W,99.78,Strong,193
163,1.02,NE,108.01,Gale,194
164,34.91,N,76.82,Gale,195
165,3.36,NE,143.17,Storm,197
166,43.74,NW,47.13,Strong,198
167,37.4,N,92.67,Storm,200
168,19.96,E,36.16,Light,201
169,38.75,N,48.16,Moderate,202
170,96.22,W,128.97,Strong,203
171,96.69,W,33.87,Storm,205
172,25.93,NW,11.93,Strong,207
173,2.18,NW,46.68,Strong,209
174,46.34,NW,79.59,Light,210
175,98.64,E,129.39,Storm,211
176,5.15,SW,146.83,Gale,212
177,59.93,E,100.35,Light,213
178,86.34,SW,147.94,Strong,214
179,13.95,N,95.4,Moderate,215
180,37.39,E,63.13,Gale,216
181,1.39,W,15.96,Light,218
182,22.69,W,31.26,Moderate,220
183,81.0,E,131.48,Strong,222
184,10.65,N,144.25,Strong,224
185,79.84,NE,56.42,Strong,226
186,49.94,S,6.3,Strong,227
187,37.91,SE,6.75,Strong,228
188,14.97,S,17.01,Moderate,229
189,34.63,SE,14.2,Storm,231
190,90.44,NE,107.13,Light,232
191,78.0,SW,72.78,Light,233
192,73.33,E,17.09,Strong,234
193,7.58,N,42.77,Strong,235
194,52.52,NW,64.27,Moderate,237
195,69.83,SW,126.67,Strong,238
196,24.01,SW,12.46,Storm,239
197,29.81,N,81.92,Gale,240
198,31.43,NW,36.03,Gale,241
199,17.41,NW,10.73,Gale,242
200,46.46,E,24.33,Light,244
201,90.36,NW,119.03,Strong,245
202,60.95,SE,15.44,Light,246
203,67.74,N,125.59,Gale,248
204,88.86,N,119.85,Light,250
205,93.59,SW,78.63,Moderate,251
206,22.19,NW,7.79,Storm,254
207,74.36,SE,15.08,Gale,255
208,84.1,NE,112.63,Storm,256
209,25.85,S,145.68,Gale,257
210,28.78,S,110.28,Strong,258
211,12.78,W,57.98,Moderate,259
212,53.77,E,41.96,Moderate,260
213,32.97,E,44.23,Strong,261
214,62.32,NW,25.87,Storm,262
215,70.42,NE,45.4,Moderate,263
216,5.96,SE,116.18,Moderate,264
217,41.18,N,17.99,Moderate,265
218,66.28,SE,91.29,Light,266
219,68.14,N,7.76,Storm,268
220,91.88,E,91.04,Moderate,269
221,22.5,NE,6.78,Light,270
222,70.0,NW,87.53,Moderate,271
223,3.14,SW,22.75,Gale,272
224,97.38,E,52.47,Storm,275
225,7.72,NE,86.25,Light,277
226,89.73,NW,136.2,Strong,278
227,95.9,S,84.93,Strong,280
228,5.73,NE,111.22,Gale,281
229,81.58,W,115.01,Strong,282
230,89.44,S,9.13,Moderate,283
231,14.5,W,17.34,Gale,284
232,39.4,NW,111.26,Moderate,287
233,87.09,SE,74.61,Gale,288
234,73.11,NW,3.02,Moderate,289
235,75.95,S,148.01,Light,290
236,64.5,NW,22.37,Strong,291
237,88.85,E,28.1,Moderate,292
238,99.13,N,131.24,Moderate,293
239,39.22,W,140.33,Moderate,294
240,81.35,NE,63.91,Gale,295
241,38.64,W,21.19,Light,296
242,65.79,S,108.08,Moderate,297
243,61.22,SE,78.68,Strong,299
